name,description,styleUrl,longitude,latitude,altitude,LineString/tessellate,LineString/coordinates
SEA - STTLWAX1,Digital Realty SEA10 - Seattle<br><br>SIX Seattle - 2x 400G,#icon-1609-0288D1,-122.3386777,47.6144489,0,,
ORD/CHI - CHCOILX1,CoreSite CH1 - Chicago<br><br>Any2 Chicago - 2x 100G<br>CHiX - 400G,#icon-1609-0288D1,-87.6316483,41.8760688,0,,
DEN - DNVRCOX1,CoreSite DE1 - Denver<br><br>Any2 Denver - 2x 200G,#icon-1609-0288D1,-104.9957125,39.7456628,0,,
LAX - LSANCAX1,CoreSite LA1 - Los Angeles (One Wilshire)<br><br>Any2West - 2x 200G,#icon-1609-0288D1,-118.2556849,34.047997,0,,
LGA/NYC - NWYYNYX1,Digital Realty NYC - New York (32 AoA)<br><br>DE-CIX NYC - 2x 300G<br>NYIIX - 300G,#icon-1609-0288D1,-74.0043892,40.7198512,0,,
ATL - ATLAGAX1,Equinix AT1 - Atlanta<br><br>CIX-ATL - 2x 500G,#icon-1609-0288D1,-84.3880016,33.758575,0,,
DFW/DAL - DLLSTXX1,Equinix DA6 - Dallas<br><br>Equinix Dallas - 300G<br>DE-CIX Dallas - 400G,#icon-1609-0288D1,-96.8195697,32.8010115,0,,
MSP - MPLSMNX1,Cologix MIN2 - Minneapolis<br><br>MICE - 2x 200G,#icon-1609-0288D1,-93.2548509,44.9714107,0,,
IAD/WAS - ASHNVAX2,Equinix DC1-DC15/DC21 - Ashburn<br><br>Equinix Ashburn - 200G<br>LINX NoVA - 200G,#icon-1609-0288D1,-77.460349,39.015551,0,,
MIA - MMMIFLX1,Equinix MI1 - Miami (NOTA)<br><br>Equinix MIA - 200G<br>FL-IX - 200G,#icon-1609-0288D1,-80.1931407,25.7824329,0,,
PHX - TMPEAZX1,EdgeConneX Phoenix (EDCPHX01)<br><br>DE-CIX Phoenix - 200G<br>Ninja-IX Phoenix - 200G,#icon-1609-0288D1,-111.9701203,33.3955428,0,,
SJC/SFO - SNJECAX1,Equinix SV1/SV5/SV10 (Silicon Valley San Jose)<br><br>SFMIX - 200G<br>Equinix San Jose - 200G,#icon-1609-0288D1,-121.783323,37.241638,0,,
SLC - SLTYUTX1,EdgeConnectX SLC1 - Salt Lace City<br><br>SLIX - 2x 200G,#icon-1609-0288D1,-111.985013,40.720861,0,,
QRO/MEX - QRTOMEX1,KIO QRO1 - Queretaro (Mexico City)<br><br>PIT MX - 2x 100G,#icon-1609-0288D1,-100.2566086,20.5669519,0,,
SLC2 - SLTYUTX1,Databank SLC2 - Bluffdale,#icon-1609-01579B,-111.9047422,40.4802523,0,,
BOG - BGTACOL1,Equinix BG1 - Bogota<br><br>Equinix Bogota - 2x100G<br>PIT Colombia-Bogota - 2x100G,#icon-1609-0288D1,-74.1617196,4.6712121,0,,
SCL - SNTOCHL1,Cirion SAN1 - Santiago<br><br>PIT Peru Lima - 2x 100G,#icon-1609-0288D1,-70.6758799,-33.3581747,0,,
